Feature,Saliency
sideslipFL,0.036568544805049896
FxFL,0.052537012845277786
sideslipFR,0.03808142989873886
brake,0.02881111018359661
RR,0.05403648689389229
FyFR,0.04594515264034271
longslipRR,0.03304749354720116
RL,0.05397915840148926
FyRL,0.0325261726975441
yawrate,0.037776969373226166
steeringangel,0.0471472404897213
slip1,0.05540814995765686
az,0.04395521059632301
x,0.02745908498764038
ax,0.040476661175489426
yaw,0.03691219538450241
pitch,0.04571332782506943
FxFR,0.05248863622546196
FxRL,0.030031204223632812
vx,0.054016582667827606
y,0.052007269114255905
FyRR,0.03840513527393341
pitchrate,0.03914523869752884
vy,0.03381994366645813
longslipFR,0.024951644241809845
FxRR,0.030039839446544647
rollrate,0.03618699312210083
signal,0.04786285385489464
ay,0.03819967433810234
slip,0.032477449625730515
longslipFL,0.024951301515102386
gas,0.026045991107821465
FL,0.054184429347515106
FyFL,0.04327528551220894
sideslipRR,0.03292291611433029
longslipRL,0.03310200199484825
FR,0.05434809997677803
sideslipRL,0.03592052683234215
roll,0.037564415484666824
signal.1,0.025039004161953926
