Feature,Saliency
FyRL,0.04201775838321607
ax,0.042086025566927025
yawrate,0.043537930119782686
roll,0.04226660558820835
FxFL,0.04279207605369655
sideslipFR,0.04289964115845838
FxFR,0.0426771901880524
brake,0.042787537494275184
steeringangel,0.04288122566815998
longslipFL,0.04311058227904141
FxRL,0.0429904495831579
signal,0.04247164433555944
RR,0.04320345907970997
signal.1,0.043195859562339525
yaw,0.04301540895331917
FyFR,0.043337687849998474
FxRR,0.04220408123053078
longslipFR,0.043279387489227314
longslipRR,0.042833877028897405
sideslipRL,0.04224150633672252
az,0.04297236624240343
FL,0.04285817915141316
y,0.04212940294694688
ay,0.042768048255571296
sideslipFL,0.04320980948562335
FyRR,0.042129099468833635
RL,0.0425345442158037
gas,0.04269567017243909
sideslipRR,0.043003555187689405
vx,0.04212686874338293
FyFL,0.04169722491808768
pitch,0.04273890630741205
vy,0.04296321166579479
slip1,0.043780062605427314
rollrate,0.04295054149614381
pitchrate,0.04350134837607454
slip,0.043884565006010234
x,0.042268824114996405
FR,0.043190441759569306
longslipRL,0.0424012625091044
