Feature,Saliency
FyRL,0.014534684642317839
ax,0.014250962867663475
yawrate,0.013558655773522332
roll,0.014661108905004636
FxFL,0.013794535346927919
sideslipFR,0.013871468494471628
FxFR,0.013859236455963193
brake,0.013779030203815117
steeringangel,0.013944217403020178
longslipFL,0.013887010588015463
FxRL,0.014307931580073532
signal,0.013421543057380145
RR,0.014020418376146284
signal.1,0.013303643701874535
yaw,0.014360636914456595
FyFR,0.013522304597375166
FxRR,0.01418681989473823
longslipFR,0.014011353656574752
longslipRR,0.014464747302034604
sideslipRL,0.014262189155228302
az,0.014168412754640616
FL,0.014237201431179918
y,0.014396205970634972
ay,0.014162641432319236
sideslipFL,0.013061833137596426
FyRR,0.014098759407975845
RL,0.01396058730356994
gas,0.014208408059078335
sideslipRR,0.013555408794283201
vx,0.013837101972707646
FyFL,0.01462152476753025
pitch,0.013624386370273507
vy,0.013737011823260608
slip1,0.013411345454577324
rollrate,0.013619841054605786
pitchrate,0.013418608109142431
slip,0.014144944880432117
x,0.014523034319738923
FR,0.013661222134292725
longslipRL,0.01458990282493947
