Feature,Saliency
pitchrate,0.040883913015325866
x,0.0363098569214344
FyRR,0.0333982581893603
FyFR,0.03285358535746733
longslipRL,0.03886796306404802
signal,0.036452550234066114
RR,0.03541615750226709
FR,0.03652983634836144
FxRR,0.03983956409825219
RL,0.037694726346267596
signal.1,0.03355339914560318
gas,0.037384033824006714
pitch,0.042399481352832585
FyFL,0.037908152780599065
brake,0.0346531437502967
az,0.03319720406499174
yaw,0.03637205436825752
ax,0.040390178147289485
FL,0.0353480109737979
longslipFR,0.030367112201121118
sideslipFL,0.03152845489482085
slip,0.03617624959184064
ay,0.03544948870937029
y,0.041369020111031
sideslipRL,0.03975981515314844
slip1,0.03923471396168073
FxFR,0.03907198500302103
FxFL,0.03441655387481054
FxRL,0.02990081761446264
roll,0.032341124282942876
vy,0.03319653434058031
yawrate,0.037056658416986465
sideslipFR,0.03825677579475774
vx,0.041753063392308026
rollrate,0.039664043527510434
FyRL,0.03950474907954534
longslipFL,0.03827312795652284
sideslipRR,0.03289018716249201
steeringangel,0.031862867582175464
longslipRR,0.03634373595317205
