Feature,Saliency
yawrate,0.034659606508082814
az,0.03194688446819782
longslipRR,0.035009851679205894
longslipFL,0.03953036665916443
slip,0.03558941061298052
sideslipRR,0.032800079633792244
FxRL,0.035517572735746704
longslipFR,0.03762898656229178
ay,0.03125194998251067
steeringangel,0.03172566990057627
sideslipFR,0.03697325951523251
pitch,0.03278161150713762
FyRL,0.036267134878370494
signal,0.033409078501992755
ax,0.03469107486307621
brake,0.037362474534246654
yaw,0.040908734831545085
RR,0.03345479609237777
x,0.03889955704410871
FxRR,0.037538750718037285
vx,0.03882682406240039
sideslipFL,0.0368280563917425
y,0.03553679337104162
FyFR,0.029893379244539473
roll,0.037473421543836594
pitchrate,0.034063959701193705
FxFL,0.03522034424046675
gas,0.03021890628668997
slip1,0.03624236169788572
longslipRL,0.03878644212252564
rollrate,0.03251630336874061
FxFR,0.0343296786563264
signal.1,0.033882023559676275
FyFL,0.03489592816266748
FL,0.03268566189540757
vy,0.03427437651488516
sideslipRL,0.03243044991460112
RL,0.03114411710864968
FR,0.031771396183305316
FyRR,0.03492325606445471
