Feature,Saliency
longslipRR,0.014115169818978757
sideslipFR,0.015305790972585479
pitch,0.015374648190724352
FR,0.014065321302041411
rollrate,0.014298778298931817
roll,0.014619315799791366
x,0.014671371881073961
yawrate,0.013990266830660403
longslipFR,0.01630407276873787
signal,0.01651745712539802
FxFR,0.013635443727253005
vx,0.013706552213989198
ay,0.01344889827305451
brake,0.015390583508027097
longslipFL,0.015380356771250566
pitchrate,0.015198083885479718
az,0.014591932859426985
FyRR,0.01397705883330976
yaw,0.015810813910017412
FxRR,0.016221343403837334
y,0.013919119441804165
RR,0.014288419993439069
FxFL,0.013652029796503484
sideslipFL,0.01464831285799543
sideslipRL,0.014771816631158194
signal.1,0.013467341098779192
longslipRL,0.0145326007817251
FxRL,0.01507377733166019
RL,0.015181033794457713
FyFR,0.01348763529676944
FyRL,0.015609620953910053
steeringangel,0.015626009029801935
ax,0.014041145875429114
FyFL,0.014481689858560761
slip,0.013996102730743587
vy,0.012298102781642228
gas,0.012839697854360566
sideslipRR,0.013887162048680088
slip1,0.014870346679041782
FL,0.013824776707527539
