Feature,Saliency
sideslipFL,0.010105245601153001
FxFL,0.010627047663244108
sideslipFR,0.012330995523370802
brake,0.013003910484258085
RR,0.014465398717826853
FyFR,0.010563821822870523
longslipRR,0.012561985199378492
RL,0.012391548817201207
FyRL,0.011539782135514542
yawrate,0.011487219181920713
steeringangel,0.013975043557972336
slip1,0.015235385566484183
az,0.01232418705088397
x,0.012752067385008559
ax,0.015023503035384541
yaw,0.01179808559633481
pitch,0.011734429999099424
FxFR,0.010598391866854703
FxRL,0.012750278098489312
vx,0.012965017541622123
y,0.01502497240047281
FyRR,0.01124931486750332
pitchrate,0.015758920916899417
vy,0.012435346094813818
longslipFR,0.013568760933897769
FxRR,0.013314019432679439
rollrate,0.011815972524345852
signal,0.013346942878949145
ay,0.01121757656801492
slip,0.012253651405141378
longslipFL,0.009882383659714833
gas,0.011905023789343735
FL,0.013210214577460041
FyFL,0.013559218340863785
sideslipRR,0.011061046156100929
longslipRL,0.012995823296175027
FR,0.01456453416418905
sideslipRL,0.013344587079094103
roll,0.013704795948190926
signal.1,0.013473399701373031
