,valtozo_v_sin_fek_a2_f1_pedal0_2,valtozo_v_sin_fek_a2_f1_pedal0_5,valtozo_v_sin_fek_a2_f1_pedal1_0,valtozo_v_sin_fek_a2_f3_pedal0_2,valtozo_v_sin_fek_a2_f3_pedal0_5,valtozo_v_sin_fek_a2_f3_pedal1_0,valtozo_v_sin_fek_a2_f5_pedal0_2,valtozo_v_sin_fek_a2_f5_pedal0_5,valtozo_v_sin_fek_a2_f5_pedal1_0,valtozo_v_sin_fek_a2_f7_pedal0_2,valtozo_v_sin_fek_a2_f7_pedal0_5,valtozo_v_sin_fek_a2_f7_pedal1_0,valtozo_v_sin_fek_a8_f1_pedal0_2,valtozo_v_sin_fek_a8_f1_pedal0_5,valtozo_v_sin_fek_a8_f1_pedal1_0,valtozo_v_sin_fek_a8_f3_pedal0_2,valtozo_v_sin_fek_a8_f3_pedal0_5,valtozo_v_sin_fek_a8_f3_pedal1_0,valtozo_v_sin_fek_a8_f5_pedal0_2,valtozo_v_sin_fek_a8_f5_pedal0_5,valtozo_v_sin_fek_a8_f5_pedal1_0,valtozo_v_sin_fek_a8_f7_pedal0_2,valtozo_v_sin_fek_a8_f7_pedal0_5,valtozo_v_sin_fek_a8_f7_pedal1_0
valtozo_v_sin_fek_a2_f1_pedal0_2,1.000000,0.994859,0.933553,0.999412,0.994914,0.931296,0.997887,0.988289,0.936763,0.989431,0.988083,0.937150,0.994223,0.993721,0.935927,0.994971,0.993409,0.936296,0.985912,0.993534,0.937905,0.986118,0.991492,0.941136
valtozo_v_sin_fek_a2_f1_pedal0_5,0.994859,1.000000,0.924740,0.994198,0.997839,0.922854,0.994320,0.990050,0.928810,0.988626,0.989209,0.929460,0.992072,0.991613,0.925982,0.990623,0.991661,0.926450,0.986236,0.992618,0.927883,0.986203,0.994699,0.930695
valtozo_v_sin_fek_a2_f1_pedal1_0,0.933553,0.924740,1.000000,0.931309,0.923216,0.998471,0.921715,0.917591,0.999014,0.911599,0.922290,0.998944,0.919745,0.931031,0.991480,0.917514,0.926870,0.990750,0.910605,0.926371,0.989948,0.911542,0.927561,0.990247
valtozo_v_sin_fek_a2_f3_pedal0_2,0.999412,0.994198,0.931309,1.000000,0.995160,0.929256,0.998073,0.987555,0.934648,0.989289,0.987169,0.935066,0.993655,0.993242,0.933345,0.995193,0.993203,0.933829,0.985472,0.992862,0.935643,0.985154,0.991115,0.938656
valtozo_v_sin_fek_a2_f3_pedal0_5,0.994914,0.997839,0.923216,0.995160,1.000000,0.920790,0.995088,0.988592,0.926712,0.988706,0.988115,0.927662,0.991243,0.990691,0.924664,0.991637,0.991301,0.925166,0.986565,0.992041,0.926690,0.986150,0.994380,0.929670
valtozo_v_sin_fek_a2_f3_pedal1_0,0.931296,0.922854,0.998471,0.929256,0.920790,1.000001,0.919235,0.915621,0.999184,0.910067,0.921215,0.998962,0.916788,0.928215,0.989905,0.913935,0.924375,0.989413,0.906250,0.923882,0.989800,0.908221,0.924479,0.989350
valtozo_v_sin_fek_a2_f5_pedal0_2,0.997887,0.994320,0.921715,0.998073,0.995088,0.919235,1.000000,0.990957,0.925045,0.992536,0.990177,0.925453,0.993737,0.991638,0.924650,0.995273,0.992024,0.925019,0.989349,0.992500,0.926859,0.990651,0.990390,0.930006
valtozo_v_sin_fek_a2_f5_pedal0_5,0.988289,0.990050,0.917591,0.987555,0.988592,0.915621,0.990957,1.000000,0.921448,0.983223,0.996456,0.921742,0.984611,0.983268,0.919282,0.984014,0.984125,0.919761,0.991252,0.984953,0.921096,0.984247,0.985555,0.924000
valtozo_v_sin_fek_a2_f5_pedal1_0,0.936763,0.928810,0.999014,0.934648,0.926712,0.999184,0.925045,0.921448,1.000000,0.915482,0.926601,0.999815,0.922992,0.933936,0.991681,0.920514,0.930431,0.991273,0.913339,0.930015,0.990607,0.914653,0.931402,0.990841
valtozo_v_sin_fek_a2_f7_pedal0_2,0.989431,0.988626,0.911599,0.989289,0.988706,0.910067,0.992536,0.983223,0.915482,1.000000,0.984425,0.915825,0.986190,0.984742,0.914664,0.986684,0.984202,0.915017,0.979843,0.985072,0.918031,0.983430,0.982215,0.920776
