,valtozo_v_sin_fek_a2_f1_pedal0_2,valtozo_v_sin_fek_a2_f1_pedal0_5,valtozo_v_sin_fek_a2_f1_pedal1_0,valtozo_v_sin_fek_a2_f3_pedal0_2,valtozo_v_sin_fek_a2_f3_pedal0_5,valtozo_v_sin_fek_a2_f3_pedal1_0,valtozo_v_sin_fek_a2_f5_pedal0_2,valtozo_v_sin_fek_a2_f5_pedal0_5,valtozo_v_sin_fek_a2_f5_pedal1_0,valtozo_v_sin_fek_a2_f7_pedal0_2,valtozo_v_sin_fek_a2_f7_pedal0_5,valtozo_v_sin_fek_a2_f7_pedal1_0,valtozo_v_sin_fek_a8_f1_pedal0_2,valtozo_v_sin_fek_a8_f1_pedal0_5,valtozo_v_sin_fek_a8_f1_pedal1_0,valtozo_v_sin_fek_a8_f3_pedal0_2,valtozo_v_sin_fek_a8_f3_pedal0_5,valtozo_v_sin_fek_a8_f3_pedal1_0,valtozo_v_sin_fek_a8_f5_pedal0_2,valtozo_v_sin_fek_a8_f5_pedal0_5,valtozo_v_sin_fek_a8_f5_pedal1_0,valtozo_v_sin_fek_a8_f7_pedal0_2,valtozo_v_sin_fek_a8_f7_pedal0_5,valtozo_v_sin_fek_a8_f7_pedal1_0
valtozo_v_sin_fek_a2_f1_pedal0_2,1.000000,0.962746,0.890990,0.952882,0.960802,0.885801,0.959506,0.953882,0.889931,0.956370,0.953254,0.889750,0.963675,0.961691,0.899870,0.959347,0.957919,0.896533,0.949524,0.956641,0.896014,0.951306,0.955997,0.899509
valtozo_v_sin_fek_a2_f1_pedal0_5,0.962746,1.000000,0.888976,0.957155,0.966811,0.883708,0.958893,0.961594,0.888378,0.961081,0.959991,0.888369,0.972282,0.970846,0.897254,0.959611,0.962798,0.892785,0.955634,0.962609,0.891880,0.957114,0.966446,0.894765
valtozo_v_sin_fek_a2_f1_pedal1_0,0.890990,0.888976,1.000000,0.887834,0.883314,0.988329,0.880105,0.882159,0.987117,0.878258,0.887142,0.985945,0.885075,0.898541,0.970814,0.880627,0.892019,0.967109,0.873954,0.889824,0.964245,0.876472,0.891882,0.963838
valtozo_v_sin_fek_a2_f3_pedal0_2,0.952882,0.957155,0.887834,1.000000,0.965345,0.887109,0.961084,0.954164,0.889100,0.957548,0.953572,0.889264,0.958955,0.957705,0.895224,0.965868,0.962765,0.898037,0.950232,0.957109,0.894328,0.951571,0.956879,0.898309
valtozo_v_sin_fek_a2_f3_pedal0_5,0.960802,0.966811,0.883314,0.965345,1.000000,0.882231,0.964473,0.962638,0.884493,0.964015,0.961606,0.885265,0.963704,0.961768,0.890434,0.968509,0.966384,0.892743,0.958264,0.962075,0.889526,0.959619,0.967038,0.893269
valtozo_v_sin_fek_a2_f3_pedal1_0,0.885801,0.883708,0.988329,0.887109,0.882231,1.000000,0.876865,0.879436,0.987068,0.875914,0.885313,0.985681,0.878759,0.892750,0.966965,0.879013,0.891788,0.968299,0.868771,0.886590,0.963989,0.872420,0.887974,0.962929
valtozo_v_sin_fek_a2_f5_pedal0_2,0.959506,0.958893,0.880105,0.961084,0.964473,0.876865,1.000000,0.964593,0.884208,0.963734,0.959343,0.881748,0.962116,0.958021,0.888050,0.963183,0.959678,0.887503,0.961052,0.963324,0.890711,0.959942,0.958745,0.891735
valtozo_v_sin_fek_a2_f5_pedal0_5,0.953882,0.961594,0.882159,0.954164,0.962638,0.879436,0.964593,1.000000,0.886942,0.960818,0.973340,0.884622,0.957768,0.955821,0.889013,0.957471,0.958411,0.888724,0.970845,0.962323,0.891183,0.960224,0.960553,0.892264
valtozo_v_sin_fek_a2_f5_pedal1_0,0.889931,0.888378,0.987117,0.889100,0.884493,0.987068,0.884208,0.886942,1.000000,0.880793,0.890186,0.988955,0.883827,0.896921,0.966722,0.881654,0.893776,0.965840,0.878883,0.895927,0.966792,0.878160,0.894415,0.963752
valtozo_v_sin_fek_a2_f7_pedal0_2,0.956370,0.961081,0.878258,0.957548,0.964015,0.875914,0.963734,0.960818,0.880793,1.000000,0.971269,0.883667,0.960913,0.959381,0.886431,0.961364,0.959910,0.886025,0.955496,0.960156,0.887860,0.968736,0.964569,0.893906
