,allando_v_savvaltas_alacsony_v10,allando_v_savvaltas_alacsony_v100,allando_v_savvaltas_alacsony_v105,allando_v_savvaltas_alacsony_v110,allando_v_savvaltas_alacsony_v115,allando_v_savvaltas_alacsony_v120,allando_v_savvaltas_alacsony_v125,allando_v_savvaltas_alacsony_v130,allando_v_savvaltas_alacsony_v135,allando_v_savvaltas_alacsony_v140,allando_v_savvaltas_alacsony_v15,allando_v_savvaltas_alacsony_v20,allando_v_savvaltas_alacsony_v25,allando_v_savvaltas_alacsony_v30,allando_v_savvaltas_alacsony_v35,allando_v_savvaltas_alacsony_v40,allando_v_savvaltas_alacsony_v45,allando_v_savvaltas_alacsony_v5,allando_v_savvaltas_alacsony_v50,allando_v_savvaltas_alacsony_v55,allando_v_savvaltas_alacsony_v60,allando_v_savvaltas_alacsony_v65,allando_v_savvaltas_alacsony_v70,allando_v_savvaltas_alacsony_v75,allando_v_savvaltas_alacsony_v80,allando_v_savvaltas_alacsony_v85,allando_v_savvaltas_alacsony_v90,allando_v_savvaltas_alacsony_v95,allando_v_savvaltas_kozepes_v10,allando_v_savvaltas_kozepes_v100,allando_v_savvaltas_kozepes_v105,allando_v_savvaltas_kozepes_v110,allando_v_savvaltas_kozepes_v115,allando_v_savvaltas_kozepes_v120,allando_v_savvaltas_kozepes_v125,allando_v_savvaltas_kozepes_v130,allando_v_savvaltas_kozepes_v135,allando_v_savvaltas_kozepes_v140,allando_v_savvaltas_kozepes_v15,allando_v_savvaltas_kozepes_v20,allando_v_savvaltas_kozepes_v25,allando_v_savvaltas_kozepes_v30,allando_v_savvaltas_kozepes_v35,allando_v_savvaltas_kozepes_v40,allando_v_savvaltas_kozepes_v45,allando_v_savvaltas_kozepes_v5,allando_v_savvaltas_kozepes_v50,allando_v_savvaltas_kozepes_v55,allando_v_savvaltas_kozepes_v60,allando_v_savvaltas_kozepes_v65,allando_v_savvaltas_kozepes_v70,allando_v_savvaltas_kozepes_v75,allando_v_savvaltas_kozepes_v80,allando_v_savvaltas_kozepes_v85,allando_v_savvaltas_kozepes_v90,allando_v_savvaltas_kozepes_v95,allando_v_savvaltas_magas_v10,allando_v_savvaltas_magas_v100,allando_v_savvaltas_magas_v105,allando_v_savvaltas_magas_v110,allando_v_savvaltas_magas_v115,allando_v_savvaltas_magas_v120,allando_v_savvaltas_magas_v125,allando_v_savvaltas_magas_v130,allando_v_savvaltas_magas_v135,allando_v_savvaltas_magas_v140,allando_v_savvaltas_magas_v15,allando_v_savvaltas_magas_v20,allando_v_savvaltas_magas_v25,allando_v_savvaltas_magas_v30,allando_v_savvaltas_magas_v35,allando_v_savvaltas_magas_v40,allando_v_savvaltas_magas_v45,allando_v_savvaltas_magas_v5,allando_v_savvaltas_magas_v50,allando_v_savvaltas_magas_v55,allando_v_savvaltas_magas_v60,allando_v_savvaltas_magas_v65,allando_v_savvaltas_magas_v70,allando_v_savvaltas_magas_v75,allando_v_savvaltas_magas_v80,allando_v_savvaltas_magas_v85,allando_v_savvaltas_magas_v90,allando_v_savvaltas_magas_v95
allando_v_savvaltas_alacsony_v10,1.000000,0.936926,0.934993,0.936443,0.924546,0.921976,0.921677,0.930766,0.927067,0.929962,0.981594,0.980538,0.970213,0.974824,0.971403,0.972486,0.965012,0.950345,0.949714,0.949397,0.952996,0.950649,0.953221,0.942253,0.952709,0.940048,0.947754,0.934443,0.975597,0.936384,0.934103,0.935783,0.924759,0.921505,0.920886,0.929941,0.926965,0.929475,0.957473,0.957033,0.944941,0.947583,0.949256,0.951469,0.946779,0.925859,0.948235,0.948702,0.952071,0.950074,0.952483,0.941686,0.951840,0.938685,0.946611,0.933671,0.955706,0.933575,0.931915,0.927713,0.923034,0.919128,0.914501,0.922624,0.920153,0.918776,0.945117,0.947114,0.938362,0.940839,0.941077,0.941101,0.937514,0.913263,0.940673,0.943871,0.950947,0.949799,0.952171,0.938670,0.947697,0.929607,0.936441,0.930997
allando_v_savvaltas_alacsony_v100,0.936926,1.000000,0.987500,0.990121,0.978660,0.979816,0.985892,0.985101,0.986724,0.986951,0.952925,0.953577,0.952270,0.951479,0.953677,0.953599,0.954672,0.892842,0.961331,0.964998,0.972903,0.976743,0.975554,0.960976,0.974572,0.970683,0.982787,0.994666,0.946919,0.996643,0.985100,0.987585,0.977161,0.977560,0.983736,0.983018,0.984829,0.984913,0.962126,0.960486,0.954898,0.955108,0.963433,0.959754,0.959924,0.888495,0.960814,0.964015,0.971667,0.975464,0.974277,0.959393,0.972947,0.968828,0.980502,0.992495,0.952136,0.994587,0.982079,0.983721,0.975172,0.974077,0.979942,0.978934,0.980433,0.980111,0.960315,0.961178,0.959573,0.960381,0.962551,0.960590,0.961888,0.897274,0.960413,0.961106,0.971822,0.975933,0.974070,0.957023,0.969631,0.965220,0.976269,0.990837
allando_v_savvaltas_alacsony_v105,0.934993,0.987500,1.000000,0.990453,0.986414,0.982421,0.986956,0.987857,0.990061,0.990904,0.951681,0.954784,0.948588,0.947857,0.949904,0.952241,0.953078,0.891154,0.959244,0.961836,0.968674,0.972059,0.972534,0.956292,0.967749,0.970462,0.977843,0.986931,0.945606,0.985024,0.996748,0.988025,0.984873,0.980323,0.984762,0.985941,0.988032,0.988927,0.961751,0.962893,0.951287,0.950402,0.959821,0.959381,0.959351,0.887319,0.959064,0.960746,0.967310,0.971156,0.971382,0.954877,0.966015,0.968616,0.975618,0.984864,0.948415,0.982959,0.993182,0.985023,0.982989,0.977091,0.981794,0.981917,0.984097,0.984105,0.961113,0.964919,0.957860,0.958133,0.959573,0.961342,0.961967,0.896772,0.959050,0.957458,0.967593,0.971404,0.971317,0.952746,0.963222,0.965169,0.971630,0.982674
allando_v_savvaltas_alacsony_v110,0.936443,0.990121,0.990453,1.000000,0.981358,0.986110,0.984526,0.984913,0.991828,0.987339,0.953852,0.953498,0.949610,0.949018,0.950639,0.951743,0.952943,0.889958,0.959586,0.963692,0.970443,0.979642,0.977491,0.956808,0.973207,0.966712,0.980050,0.988205,0.946155,0.987614,0.987993,0.996245,0.979760,0.983894,0.982543,0.982508,0.989672,0.985303,0.963467,0.961076,0.952562,0.951840,0.960460,0.958309,0.958592,0.885562,0.959797,0.962506,0.969166,0.978479,0.976201,0.955333,0.971422,0.964760,0.977603,0.986037,0.952402,0.985696,0.985250,0.992034,0.977795,0.980223,0.979336,0.978737,0.985429,0.980868,0.961456,0.962386,0.957702,0.958752,0.960336,0.959655,0.960886,0.894454,0.959552,0.959306,0.969433,0.978978,0.975970,0.953171,0.968500,0.961497,0.973607,0.983806
allando_v_savvaltas_alacsony_v115,0.924546,0.978660,0.986414,0.981358,1.000000,0.988011,0.980761,0.980696,0.982058,0.981868,0.940736,0.945402,0.936242,0.938094,0.938947,0.941197,0.941731,0.880655,0.948102,0.952183,0.959606,0.963722,0.964443,0.946077,0.957603,0.962954,0.968368,0.979434,0.931671,0.976325,0.984425,0.979063,0.996481,0.986072,0.978801,0.978826,0.980085,0.979986,0.949172,0.953355,0.942961,0.940991,0.949793,0.948009,0.947542,0.877392,0.948097,0.951336,0.958075,0.962792,0.963221,0.944602,0.955757,0.961156,0.966152,0.977541,0.938040,0.973732,0.981016,0.976411,0.993667,0.983275,0.976848,0.975503,0.976565,0.976260,0.953427,0.957430,0.949880,0.948282,0.949883,0.950490,0.951135,0.887115,0.948942,0.947966,0.958533,0.963007,0.962828,0.942317,0.953289,0.957139,0.962149,0.974781
allando_v_savvaltas_alacsony_v120,0.921976,0.979816,0.982421,0.986110,0.988011,1.000000,0.979631,0.977467,0.984909,0.979786,0.939497,0.943340,0.937203,0.935353,0.937095,0.938723,0.940139,0.875773,0.947517,0.952008,0.959078,0.969518,0.967244,0.946905,0.964622,0.960909,0.969943,0.980860,0.932135,0.977347,0.980157,0.984033,0.986250,0.996844,0.977724,0.975550,0.982458,0.977700,0.954053,0.952923,0.940732,0.938741,0.948466,0.946073,0.946607,0.870390,0.947427,0.951220,0.957759,0.968816,0.966018,0.945269,0.962925,0.959414,0.967761,0.978630,0.934981,0.976603,0.978489,0.980944,0.985496,0.994181,0.975471,0.971658,0.978564,0.972940,0.949931,0.953649,0.945388,0.944332,0.947804,0.948022,0.949445,0.880388,0.948221,0.948753,0.958675,0.969182,0.965964,0.943241,0.960852,0.956520,0.964874,0.976642
allando_v_savvaltas_alacsony_v125,0.921677,0.985892,0.986956,0.984526,0.980761,0.979631,1.000000,0.989830,0.989229,0.987413,0.945803,0.943088,0.938485,0.937473,0.938601,0.940532,0.943104,0.877867,0.946895,0.951781,0.960523,0.964085,0.962142,0.951348,0.961420,0.960607,0.971434,0.984374,0.932119,0.983556,0.984540,0.982573,0.979341,0.977599,0.996672,0.987960,0.987116,0.985412,0.955760,0.949214,0.941451,0.939693,0.948060,0.945672,0.947954,0.874652,0.946602,0.950517,0.959059,0.963225,0.961100,0.950014,0.959779,0.958918,0.969184,0.982432,0.935114,0.981798,0.981420,0.979755,0.977149,0.974161,0.992253,0.983906,0.983760,0.981876,0.954864,0.953014,0.949014,0.948560,0.949055,0.949061,0.951759,0.885390,0.947564,0.947643,0.959433,0.963611,0.961158,0.948074,0.956987,0.956409,0.966227,0.980288
allando_v_savvaltas_alacsony_v130,0.930766,0.985101,0.987857,0.984913,0.980696,0.977467,0.989830,1.000000,0.988728,0.990233,0.949458,0.949294,0.946270,0.945473,0.944257,0.946071,0.946145,0.883769,0.954964,0.959475,0.971822,0.967609,0.967502,0.956586,0.966080,0.961935,0.974039,0.980647,0.941390,0.982816,0.985495,0.982706,0.979224,0.975450,0.988054,0.996784,0.986591,0.988108,0.959301,0.955092,0.948725,0.948878,0.954724,0.952518,0.951526,0.880750,0.954989,0.958445,0.970893,0.966543,0.966526,0.955350,0.964462,0.960340,0.971691,0.978481,0.945164,0.980165,0.981834,0.980099,0.976839,0.971464,0.984548,0.991800,0.983530,0.984634,0.958760,0.959825,0.956618,0.957192,0.955923,0.956168,0.955635,0.891121,0.955820,0.955294,0.971033,0.967015,0.966328,0.953359,0.961064,0.957270,0.967472,0.975950
allando_v_savvaltas_alacsony_v135,0.927067,0.986724,0.990061,0.991828,0.982058,0.984909,0.989229,0.988728,1.000000,0.993427,0.944505,0.948959,0.942419,0.942003,0.944300,0.945525,0.945905,0.881335,0.952042,0.955842,0.964439,0.970739,0.969157,0.951310,0.965546,0.963068,0.974465,0.984808,0.937073,0.984144,0.987773,0.989485,0.980477,0.982767,0.987164,0.986702,0.997006,0.991325,0.956489,0.955647,0.943938,0.943764,0.952818,0.950841,0.950542,0.877831,0.952065,0.954748,0.963134,0.969700,0.968100,0.949936,0.963878,0.961362,0.972351,0.982734,0.940612,0.982131,0.984367,0.986759,0.978228,0.978926,0.983905,0.982749,0.991614,0.987201,0.955580,0.958164,0.950997,0.951387,0.953471,0.953762,0.953936,0.888723,0.952645,0.951970,0.963568,0.970187,0.967953,0.947874,0.961194,0.958504,0.969021,0.980062
allando_v_savvaltas_alacsony_v140,0.929962,0.986951,0.990904,0.987339,0.981868,0.979786,0.987413,0.990233,0.993427,1.000000,0.948489,0.952668,0.947956,0.947805,0.949174,0.950878,0.951452,0.886064,0.956975,0.960327,0.968363,0.967875,0.968159,0.953482,0.965036,0.965339,0.975155,0.983815,0.940200,0.984591,0.988416,0.985348,0.980291,0.977608,0.985305,0.988288,0.991377,0.996791,0.956896,0.958014,0.949363,0.949124,0.958165,0.956689,0.956267,0.881540,0.956834,0.959296,0.966939,0.966752,0.967029,0.952081,0.963388,0.963745,0.972898,0.981750,0.943538,0.982417,0.984857,0.982210,0.978191,0.974219,0.982101,0.984123,0.987107,0.991476,0.957007,0.961356,0.956481,0.956407,0.958677,0.959406,0.959641,0.892378,0.957473,0.956281,0.967291,0.966954,0.966981,0.949844,0.960701,0.960932,0.969121,0.979303
