,valtozo_v_sin_fek_a2_f1_pedal0_2,valtozo_v_sin_fek_a2_f1_pedal0_5,valtozo_v_sin_fek_a2_f1_pedal1_0,valtozo_v_sin_fek_a2_f3_pedal0_2,valtozo_v_sin_fek_a2_f3_pedal0_5,valtozo_v_sin_fek_a2_f3_pedal1_0,valtozo_v_sin_fek_a2_f5_pedal0_2,valtozo_v_sin_fek_a2_f5_pedal0_5,valtozo_v_sin_fek_a2_f5_pedal1_0,valtozo_v_sin_fek_a2_f7_pedal0_2,valtozo_v_sin_fek_a2_f7_pedal0_5,valtozo_v_sin_fek_a2_f7_pedal1_0,valtozo_v_sin_fek_a8_f1_pedal0_2,valtozo_v_sin_fek_a8_f1_pedal0_5,valtozo_v_sin_fek_a8_f1_pedal1_0,valtozo_v_sin_fek_a8_f3_pedal0_2,valtozo_v_sin_fek_a8_f3_pedal0_5,valtozo_v_sin_fek_a8_f3_pedal1_0,valtozo_v_sin_fek_a8_f5_pedal0_2,valtozo_v_sin_fek_a8_f5_pedal0_5,valtozo_v_sin_fek_a8_f5_pedal1_0,valtozo_v_sin_fek_a8_f7_pedal0_2,valtozo_v_sin_fek_a8_f7_pedal0_5,valtozo_v_sin_fek_a8_f7_pedal1_0
valtozo_v_sin_fek_a2_f1_pedal0_2,1.000000,0.962429,0.891043,0.969607,0.964612,0.921284,0.969077,0.956073,0.920524,0.958117,0.955466,0.927556,0.965917,0.962311,0.900920,0.963704,0.960974,0.905199,0.953042,0.957639,0.897461,0.956655,0.958251,0.899902
valtozo_v_sin_fek_a2_f1_pedal0_5,0.962429,1.000000,0.915067,0.960361,0.971300,0.924731,0.963280,0.963420,0.920096,0.963013,0.960571,0.899613,0.972131,0.971002,0.898759,0.962665,0.963124,0.893193,0.956899,0.964570,0.895637,0.960339,0.969397,0.902873
valtozo_v_sin_fek_a2_f1_pedal1_0,0.891043,0.915067,1.000000,0.887416,0.887916,0.988627,0.927621,0.884287,0.989335,0.880136,0.888491,0.989458,0.885967,0.899428,0.975436,0.922684,0.892182,0.974077,0.876787,0.901676,0.968885,0.880007,0.906336,0.968224
valtozo_v_sin_fek_a2_f3_pedal0_2,0.969607,0.960361,0.887416,1.000000,0.966778,0.887129,0.969963,0.957384,0.902995,0.961188,0.956884,0.898477,0.963941,0.961744,0.895306,0.965610,0.963916,0.896574,0.957113,0.960744,0.899499,0.958155,0.961854,0.904090
valtozo_v_sin_fek_a2_f3_pedal0_5,0.964612,0.971300,0.887916,0.966778,1.000000,0.883577,0.968669,0.965571,0.886074,0.968583,0.964820,0.894497,0.966879,0.962840,0.892527,0.969225,0.967519,0.893546,0.959132,0.966364,0.893831,0.965179,0.972218,0.897262
valtozo_v_sin_fek_a2_f3_pedal1_0,0.921284,0.924731,0.988627,0.887129,0.883577,1.000000,0.925988,0.879728,0.989067,0.878322,0.886440,0.989498,0.889960,0.893847,0.974997,0.917177,0.892024,0.972558,0.870762,0.903697,0.969598,0.878377,0.905873,0.968087
valtozo_v_sin_fek_a2_f5_pedal0_2,0.969077,0.963280,0.927621,0.969963,0.968669,0.925988,1.000000,0.967562,0.927725,0.965311,0.961193,0.927648,0.964315,0.962814,0.929350,0.968044,0.962981,0.901608,0.961999,0.966093,0.921546,0.966896,0.964467,0.935868
valtozo_v_sin_fek_a2_f5_pedal0_5,0.956073,0.963420,0.884287,0.957384,0.965571,0.879728,0.967562,1.000000,0.891000,0.962903,0.977148,0.886301,0.959047,0.957896,0.889572,0.957207,0.958828,0.888002,0.971035,0.965316,0.894001,0.965054,0.961308,0.893376
valtozo_v_sin_fek_a2_f5_pedal1_0,0.920524,0.920096,0.989335,0.902995,0.886074,0.989067,0.927725,0.891000,1.000000,0.881443,0.891778,0.990131,0.884715,0.899125,0.975582,0.919326,0.894491,0.974799,0.879595,0.900061,0.970572,0.879995,0.906817,0.967460
valtozo_v_sin_fek_a2_f7_pedal0_2,0.958117,0.963013,0.880136,0.961188,0.968583,0.878322,0.965311,0.962903,0.881443,1.000000,0.971663,0.881326,0.962764,0.961209,0.888169,0.965626,0.963486,0.886778,0.957196,0.961514,0.890492,0.969032,0.964862,0.895783
