,valtozo_v_sin_fek_a2_f1_pedal0_2,valtozo_v_sin_fek_a2_f1_pedal0_5,valtozo_v_sin_fek_a2_f1_pedal1_0,valtozo_v_sin_fek_a2_f3_pedal0_2,valtozo_v_sin_fek_a2_f3_pedal0_5,valtozo_v_sin_fek_a2_f3_pedal1_0,valtozo_v_sin_fek_a2_f5_pedal0_2,valtozo_v_sin_fek_a2_f5_pedal0_5,valtozo_v_sin_fek_a2_f5_pedal1_0,valtozo_v_sin_fek_a2_f7_pedal0_2,valtozo_v_sin_fek_a2_f7_pedal0_5,valtozo_v_sin_fek_a2_f7_pedal1_0,valtozo_v_sin_fek_a8_f1_pedal0_2,valtozo_v_sin_fek_a8_f1_pedal0_5,valtozo_v_sin_fek_a8_f1_pedal1_0,valtozo_v_sin_fek_a8_f3_pedal0_2,valtozo_v_sin_fek_a8_f3_pedal0_5,valtozo_v_sin_fek_a8_f3_pedal1_0,valtozo_v_sin_fek_a8_f5_pedal0_2,valtozo_v_sin_fek_a8_f5_pedal0_5,valtozo_v_sin_fek_a8_f5_pedal1_0,valtozo_v_sin_fek_a8_f7_pedal0_2,valtozo_v_sin_fek_a8_f7_pedal0_5,valtozo_v_sin_fek_a8_f7_pedal1_0
valtozo_v_sin_fek_a2_f1_pedal0_2,1.000000,0.953751,0.886811,0.954172,0.956825,0.884071,0.955647,0.952698,0.888881,0.955474,0.952329,0.888979,0.955500,0.954615,0.894211,0.956542,0.956032,0.894101,0.948467,0.955381,0.894508,0.950482,0.954923,0.898409
valtozo_v_sin_fek_a2_f1_pedal0_5,0.953751,1.000000,0.883541,0.954706,0.965211,0.881145,0.957762,0.959939,0.886453,0.960241,0.958951,0.886804,0.958970,0.958123,0.889848,0.957893,0.959892,0.889837,0.954290,0.960044,0.890090,0.956084,0.963575,0.893603
valtozo_v_sin_fek_a2_f1_pedal1_0,0.886811,0.883541,1.000000,0.886154,0.884878,0.944644,0.879723,0.881563,0.944754,0.877345,0.885919,0.944401,0.880942,0.891377,0.944095,0.879102,0.888989,0.942912,0.873067,0.887793,0.940960,0.875639,0.890338,0.942103
valtozo_v_sin_fek_a2_f3_pedal0_2,0.954172,0.954706,0.886154,1.000000,0.958657,0.883605,0.957418,0.953577,0.888352,0.956929,0.953033,0.888481,0.956546,0.955746,0.893231,0.958350,0.957426,0.893231,0.949624,0.956325,0.893838,0.951136,0.956151,0.897536
valtozo_v_sin_fek_a2_f3_pedal0_5,0.956825,0.965211,0.884878,0.958657,1.000000,0.881958,0.961537,0.961560,0.887251,0.963360,0.960924,0.887892,0.961202,0.960263,0.891395,0.961910,0.962582,0.891418,0.957631,0.962523,0.891760,0.959060,0.966317,0.895445
valtozo_v_sin_fek_a2_f3_pedal1_0,0.884071,0.881145,0.944644,0.883605,0.881958,1.000000,0.876765,0.879079,0.944278,0.875280,0.884291,0.943783,0.877519,0.888082,0.941960,0.875083,0.885998,0.941004,0.868306,0.884811,0.940185,0.871861,0.886782,0.940616
valtozo_v_sin_fek_a2_f5_pedal0_2,0.955647,0.957762,0.879723,0.957418,0.961537,0.876765,1.000000,0.959806,0.881930,0.963024,0.958879,0.882052,0.959567,0.957137,0.887632,0.961376,0.959232,0.887527,0.956294,0.958918,0.888171,0.959385,0.958391,0.892000
valtozo_v_sin_fek_a2_f5_pedal0_5,0.952698,0.959939,0.881563,0.953577,0.961560,0.879079,0.959806,1.000000,0.884296,0.960279,0.971324,0.884310,0.957026,0.955319,0.888300,0.956770,0.957871,0.888302,0.964452,0.957903,0.888471,0.959471,0.960003,0.892085
valtozo_v_sin_fek_a2_f5_pedal1_0,0.888881,0.886453,0.944754,0.888352,0.887251,0.944278,0.881930,0.884296,1.000000,0.880113,0.889081,0.944186,0.883080,0.893174,0.943247,0.881007,0.891422,0.942371,0.874725,0.890305,0.940551,0.877660,0.893041,0.941632
valtozo_v_sin_fek_a2_f7_pedal0_2,0.955474,0.960241,0.877345,0.956929,0.963360,0.875280,0.963024,0.960279,0.880113,1.000000,0.961281,0.880175,0.960244,0.958431,0.885389,0.961050,0.959628,0.885273,0.955026,0.959701,0.887069,0.960358,0.958430,0.890534
